Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
24-Oct-19,299.68,298.97,304.74,290.05,29.82M
23-Oct-19,254.68,254.5,256.14,251.35,11.22M
22-Oct-19,255.58,254.32,258.33,250.85,4.63M
21-Oct-19,253.5,258.33,259.5,250.18,5.11M
18-Oct-19,256.95,260.7,262.8,255.1,5.75M
17-Oct-19,261.97,262.5,264.78,260.17,4.78M
16-Oct-19,259.75,257.39,262.1,256.92,6.70M
15-Oct-19,257.89,257.7,260,254.12,6.48M
14-Oct-19,256.96,247.9,258.55,247.13,10.23M
11-Oct-19,247.89,247.15,251.08,246.81,8.49M
10-Oct-19,244.74,245.28,249.28,241.58,6.31M
09-Oct-19,244.53,241.32,247.29,240.65,6.94M
08-Oct-19,240.05,235.87,243.94,234.5,8.70M
07-Oct-19,237.72,229.8,238.56,228.55,8.09M
04-Oct-19,231.43,231.61,234.78,228.07,8.02M
03-Oct-19,233.03,231.86,234.48,224.28,15.14M
02-Oct-19,243.13,243.29,244.65,239.43,6.26M
01-Oct-19,244.69,241.5,245.95,239.13,6.20M
30-Sep-19,240.87,243,243.98,236.11,5.95M
27-Sep-19,242.13,242.2,248.71,238.73,11.12M
26-Sep-19,242.56,230.66,243.31,227.4,12.08M
25-Sep-19,228.7,224.56,228.98,218.36,9.44M
24-Sep-19,223.21,241.52,241.99,222.61,12.94M
23-Sep-19,241.23,240,245.18,239.22,4.39M
20-Sep-19,240.62,246.49,246.95,238.16,6.51M
19-Sep-19,246.6,246,247.94,244.84,4.88M
18-Sep-19,243.49,245,248.17,242.37,4.23M
17-Sep-19,244.79,242.47,245.6,240.37,3.95M
16-Sep-19,242.81,246,247.43,241.17,4.73M
13-Sep-19,245.2,246.96,248.45,244.87,5.31M
12-Sep-19,245.87,247.7,253.5,244.4,8.58M
11-Sep-19,247.1,237.38,248.17,236,10.04M
10-Sep-19,235.54,230.8,235.54,228.94,4.88M
09-Sep-19,231.79,230,233.76,229.23,4.80M
06-Sep-19,227.45,227.2,229.64,225.17,4.19M
05-Sep-19,229.58,222.5,229.8,220.85,7.40M
04-Sep-19,220.68,226.89,228.46,219.21,5.77M
03-Sep-19,225.01,224.08,228.95,223.16,5.36M
30-Aug-19,225.61,229.15,232.44,224.21,9.33M
29-Aug-19,221.71,219,223.4,218,5.18M
28-Aug-19,215.59,213.69,217.25,212.31,3.24M
27-Aug-19,214.08,215.74,218.8,212.03,5.42M
26-Aug-19,215,213.6,215.02,211.54,5.05M
23-Aug-19,211.4,219.97,221.17,211,8.56M
22-Aug-19,222.15,222.8,225.4,218.22,6.56M
21-Aug-19,220.83,222.01,223.22,217.6,7.80M
20-Aug-19,225.86,227.62,229.09,224.54,4.17M
19-Aug-19,226.83,224.21,227.83,221.7,5.31M
16-Aug-19,219.94,216.66,222.24,216.02,5.21M
15-Aug-19,215.64,220.86,221.56,211.55,8.23M
14-Aug-19,219.62,231.21,231.5,216.69,9.56M
13-Aug-19,235,228.81,236,227.55,4.87M
12-Aug-19,229.01,232.99,235.77,228.75,4.66M
09-Aug-19,235.01,236.05,238.96,233.81,3.90M
08-Aug-19,238.3,234.45,239.8,232.65,5.27M
07-Aug-19,233.42,226.5,233.57,225.8,4.78M
06-Aug-19,230.75,231.88,232.5,225.75,5.56M
05-Aug-19,228.32,229.6,231.37,225.78,7.03M
02-Aug-19,234.34,231.35,236.27,229.23,6.14M
01-Aug-19,233.85,242.65,244.51,231.77,8.26M
31-Jul-19,241.61,243,246.68,236.65,9.18M
30-Jul-19,242.26,232.9,243.36,232.18,8.11M
29-Jul-19,235.77,227.09,235.94,226.03,9.27M
26-Jul-19,228.04,226.92,230.26,222.25,10.03M
25-Jul-19,228.82,233.5,234.5,225.55,22.42M
24-Jul-19,264.88,259.17,266.07,258.16,11.07M
23-Jul-19,260.17,256.71,260.48,254.5,5.02M
22-Jul-19,255.68,258.75,262.15,254.19,6.85M
19-Jul-19,258.18,255.69,259.96,254.62,7.05M
18-Jul-19,253.54,255.05,255.75,251.88,4.76M
17-Jul-19,254.86,255.67,258.31,253.35,9.76M
16-Jul-19,252.38,249.3,253.53,247.93,8.15M
15-Jul-19,253.5,248,254.42,244.86,11.00M
12-Jul-19,245.08,239.75,245.38,239.71,9.20M
11-Jul-19,238.6,238.14,241.5,235.8,7.51M
10-Jul-19,238.92,234.15,238.94,233.14,9.15M
09-Jul-19,230.06,228.97,231,227.28,6.19M
08-Jul-19,230.34,231.24,232.25,228.66,5.88M
05-Jul-19,233.1,234.57,235.45,230.8,7.07M
03-Jul-19,234.9,239.39,241.57,234.51,14.20M
02-Jul-19,224.55,228.89,229.15,222.22,9.26M
01-Jul-19,227.17,230.21,233.1,226.28,8.24M
28-Jun-19,223.46,220.99,225.17,220.8,6.85M
27-Jun-19,222.84,219.45,222.9,217.35,6.34M
26-Jun-19,219.27,220.31,227.23,218.1,8.51M
25-Jun-19,219.76,224.39,225.34,219.49,6.18M
24-Jun-19,223.64,223.24,225.86,221.02,5.75M
21-Jun-19,221.86,216.22,222.18,215.5,8.20M
20-Jun-19,219.62,223,226.9,216.35,11.86M
19-Jun-19,226.43,225.11,227.77,221.06,6.58M
18-Jun-19,224.74,228.72,234.74,222.56,12.72M
17-Jun-19,225.03,215.48,227,214.27,12.32M
14-Jun-19,214.92,211.25,216.65,210.4,7.43M
13-Jun-19,213.91,210.38,214.9,207.51,8.17M
12-Jun-19,209.26,222.95,223.38,209,15.20M
11-Jun-19,217.1,219.14,220.9,213.5,11.65M
10-Jun-19,212.88,210.25,216.94,209.01,10.59M
07-Jun-19,204.5,205,210.84,203.5,16.00M
06-Jun-19,205.95,204.44,211,201.8,20.24M
05-Jun-19,196.59,198.68,201.28,191.85,13.51M
04-Jun-19,193.6,181.1,193.98,179.61,13.81M
03-Jun-19,178.97,185.51,186.68,176.99,13.06M
31-May-19,185.16,185.1,189.92,184.1,10.41M
30-May-19,188.22,188.75,192.25,187.02,7.93M
29-May-19,189.86,187.1,192.39,185.04,11.97M
28-May-19,188.7,191.2,195,187.85,10.31M
24-May-19,190.63,199.83,199.98,188.75,14.14M
