CIPLA,GAIL,HDFC,INFY,ITC,M&M,MARUTI,RELIANCE,TCS,TITAN,DHFL,IDBI,PNB,VOLTAS,SUNTV,TATA POWER,NBCC,MRPL,IGL,RELINFRA,SUZLON,RAYMOND,PVR,ASHOKA,BAJAJELEC,VENKEYS,CENTURYPLY,BOMDYEING,LEMONTREE,SONATSOFTW
569,414,1559.5,951.55,277.95,1375.65,6823.9,1344.1,2365.1,483.65,431.4,75.05,166.8,431.85,912.2,83.55,197.6,134.2,1000.25,605.4,19.6,772.8,1524.95,216.05,341.15,1169.7,266.65,82.2,71.65,162.65
565.6,411.4,1566.55,955,283.45,1366.35,6953.95,1356.3,2429.15,488.3,424.45,76.65,174.15,432.45,894.7,83.85,198.25,131.7,1005.8,611.05,19.7,785,1539,214.9,347,1177,266.1,83.4,66.85,158.6
562.35,408.3,1552.5,952.8,281.65,1378.8,6958.2,1353.1,2455.35,481.75,429,75.95,165.05,430.2,887.05,85.35,200.35,135.1,1019.1,605.25,19.9,783.65,1530.3,217,349.85,1188,264.85,82.25,66.95,158.25
560.1,404.75,1537.05,961.75,277.9,1352.85,6831.05,1327.35,2536.2,471.65,417.95,69.95,158.5,414.1,871.35,83.75,194.2,136.1,1002.55,578.65,20,746.95,1515.05,209.65,334.1,1156.9,260.35,78.95,66.4,157.4
564.95,401.05,1520.6,957.95,286.2,1333.4,6790.55,1318.85,2507.15,471.15,404.2,68.75,155.2,415.75,852.4,84.15,193.55,133.6,1000.15,569.55,20.6,723.1,1513.55,206.25,336.2,1161.65,254.05,77.15,67.7,151.9
563.1,390.2,1519.85,961.45,303.6,1306.25,6701.7,1324.15,2531.35,481.4,404,66.2,150.95,415.65,844.85,82.05,189.2,129.25,987.2,555.25,20.4,715.95,1481,201.6,313.25,1219.7,255.5,74,67.25,150.45
533.2,380.35,1511.5,957.3,300.15,1331.75,6878.85,1305.55,2521.7,478.35,402,64.9,149.75,409.85,813.5,80.5,180.95,124.7,981.45,526.25,19.75,699.55,1496.45,197.65,315.55,1187.8,247.95,70.45,68.5,146.05
519.65,390.65,1524.85,954.8,299.9,1308.65,6869.65,1297.7,2559.15,469.2,395.55,61,147.45,446.5,783.3,80.25,180.65,123.3,982.65,493.7,18.85,662.25,1450,196,327.95,1144.9,241.05,66.95,68.05,146
504,401,1539.75,983.3,300.05,1327.5,6985.7,1302.45,2624.6,463.9,405.5,61.7,150.7,474.75,792.55,80.4,186.95,130.15,984.45,497.15,19.35,678.3,1461.15,199.55,346.2,1181.85,252.65,69.85,71.85,149.65
488.9,401.75,1547.9,995.7,309.1,1340.85,7064.8,1337.3,2578.25,473.45,410.65,62.65,150.65,498.5,808.9,81.05,194.7,134.35,1026.05,508.5,19.8,721.15,1471.5,199.9,359.45,1240.9,259.65,73,83.7,149.65
505.35,401.15,1598.85,985.15,315.85,1360.05,7134.45,1356.9,2572.85,470.65,410.95,60.15,145.1,484.6,781.45,81.15,194.9,128.95,1026.05,451.95,19.15,695.5,1472.85,200.05,348.7,1241.9,259.45,70.5,83.95,148.6
510.5,405.45,1579.5,996.2,311.45,1361.1,7147.5,1359.35,2551.1,469.8,412.15,60.75,146.35,485.6,797.8,82.4,196.1,129.15,1059.8,462,19.15,695.45,1447.9,194.9,342.85,1212.3,258,71.8,81.65,149.8
516.35,414,1569.85,977.05,311.8,1416.95,7211,1340.7,2546.6,474.9,416.65,60,150.5,486.35,798,81,194.95,131.15,1074.35,478.9,19.3,694.2,1454.95,190.35,342.05,1213.35,264.4,71.35,75.65,148.95
515.55,410.35,1583.75,971.4,314.2,1425.25,7146.6,1328.25,2553.6,470.7,416.9,60.75,151.9,508.85,803.7,80.7,193.45,134.85,1063.9,479.6,19.5,693.9,1455.7,187.5,341.45,1252.65,273.4,70.95,73.1,153.05
530.05,402.35,1604.65,969.45,319.2,1418.5,7114.7,1324.75,2564.9,471.75,414.25,60.95,153.05,500.45,834.35,81.05,195.65,132.9,1088.35,484.05,19.75,702.65,1457.8,190.25,352.15,1244.1,274.15,69.95,75.35,159.35
534.8,398,1606.15,958.75,317.45,1423.7,7125.7,1329.35,2603.95,551.85,430.75,60.75,153.8,494.95,839.95,81,201.15,131.85,1085.25,492.3,19.85,751.25,1442.25,192,357.6,1244.35,281.5,76.65,75.55,162.9
534.65,398.9,1605.75,979.35,311.05,1411.45,7112.1,1312.8,2696,527.15,424.6,59.85,149.5,487,813.9,79.6,202.25,128.45,1116.75,480.15,19.35,728.45,1392.85,187.6,357.65,1253.45,282.1,77.65,78.4,164.1
540.2,402.6,1599.35,961.3,312.25,1431.9,7205.7,1339,2615.25,536.2,431.45,60.2,152.35,483.25,825.3,80,200.9,129.15,1106.2,488.6,19.35,729.05,1400.7,186.15,357.9,1403.65,290.95,81.3,79,160.75
550.15,388.6,1633.55,956.45,311.6,1417.5,7249.5,1331.7,2521.6,529.1,434.45,59.4,151.3,487.65,818.65,79.05,198.4,129.05,1095.95,480.95,19.15,733.5,1454,186.25,356.5,1427.25,290.6,84.1,77.2,158.45
551.1,381.15,1647.2,948.6,306,1426.7,7464.85,1335.7,2507,525.45,435.7,59.9,152.15,492.35,795.7,77.8,198.55,129.55,1098.7,473.95,19.2,732.1,1472.25,185.05,350,1414.45,299.6,83.4,73.2,160.4
553.35,381.4,1647.5,963.85,304.4,1423.55,7373.65,1319.45,2487.2,515.8,428.35,58.3,148.4,486.55,808.6,78.9,198.6,129.2,1073.55,471.85,19,717.7,1488.95,189.8,348.45,1392.7,306.05,82.05,72.9,156.3
551.55,381.7,1667.65,957.8,305.25,1417.65,7348.95,1314.35,2451.55,520.55,440.1,57.4,148.75,491.55,813,78.1,198.85,127.95,1090.95,470.2,18.95,730.85,1496.3,192.25,343.5,1387.95,299.4,81.3,72.4,154.15
539.9,381.05,1651.1,958.6,299.85,1405.2,7351.05,1357.5,2470.2,521.9,446.4,60.05,152,491.45,826.95,77.55,198.75,127.95,1073.6,473.95,18.75,721.6,1522.5,190.65,349.3,1385.9,308.35,83.4,71.55,152.7
549.45,376.6,1636.85,952.1,301.9,1387.65,7312.3,1383.95,2411.2,517.65,463.25,59.45,147.45,494.4,824.75,77.1,197.7,127.95,1063.5,475.85,18.95,729.9,1523.5,190.55,345.6,1459.65,303.2,82.5,69.3,150.5
536.75,378.35,1640.85,940.25,306.8,1387.3,7263.9,1388.8,2399.7,516.4,454.8,58.95,147.65,489.55,839,77.9,200.7,126.95,1060.45,479.55,18.75,739.95,1564.15,193.3,343.95,1473.5,307.1,82.35,68.1,158.05
539.75,380.65,1654.2,929.85,310.9,1388.25,7249.25,1409.25,2431.7,515.2,458.85,57.1,147.25,474.15,859.45,78.05,205.45,127.75,1069.7,484.65,18.55,731.7,1569.9,194.8,346.8,1450.55,302.9,81.4,66.75,153.95
547.85,375.2,1631.5,943.55,308.7,1389.45,7207.25,1412.35,2445,526.7,459.9,55.9,143.9,470.85,845.4,82.1,206.95,126.75,1086.35,479.95,18.6,735.35,1570.3,199.2,341.4,1442.95,292.65,85.2,65,153.95
