,Date,Month,Year,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Day_Perc_Change,Trend
0,24/10/2019,10,2019,299.68,298.97,304.74,290.05,29.82,0,No change
1,23/10/2019,10,2019,254.68,254.5,256.14,251.35,11.22,-15.01601708,Bear drop
2,22/10/2019,10,2019,255.58,254.32,258.33,250.85,4.63,0.35338464,No change
3,21/10/2019,10,2019,253.5,258.33,259.5,250.18,5.11,-0.813835198,Slight negative
4,18/10/2019,10,2019,256.95,260.7,262.8,255.1,5.75,1.360946746,Positive
5,17/10/2019,10,2019,261.97,262.5,264.78,260.17,4.78,1.953687488,Positive
6,16/10/2019,10,2019,259.75,257.39,262.1,256.92,6.7,-0.847425278,Slight negative
7,15/10/2019,10,2019,257.89,257.7,260,254.12,6.48,-0.716073147,Slight negative
8,14/10/2019,10,2019,256.96,247.9,258.55,247.13,10.23,-0.360618869,No change
9,11/10/2019,10,2019,247.89,247.15,251.08,246.81,8.49,-3.529732254,Among top losers
10,10/10/2019,10,2019,244.74,245.28,249.28,241.58,6.31,-1.270724918,Negative
11,09/10/2019,10,2019,244.53,241.32,247.29,240.65,6.94,-0.085805344,No change
12,08/10/2019,10,2019,240.05,235.87,243.94,234.5,8.7,-1.832086043,Negative
13,07/10/2019,10,2019,237.72,229.8,238.56,228.55,8.09,-0.970631119,Slight negative
14,04/10/2019,10,2019,231.43,231.61,234.78,228.07,8.02,-2.645970049,Negative
15,03/10/2019,10,2019,233.03,231.86,234.48,224.28,15.14,0.691353757,Slight positive
16,02/10/2019,10,2019,243.13,243.29,244.65,239.43,6.26,4.334205896,Among top gainers
17,01/10/2019,10,2019,244.69,241.5,245.95,239.13,6.2,0.641632049,Slight positive
18,30/09/2019,9,2019,240.87,243,243.98,236.11,5.95,-1.561159018,Negative
19,27/09/2019,9,2019,242.13,242.2,248.71,238.73,11.12,0.523103749,Slight positive
20,26/09/2019,9,2019,242.56,230.66,243.31,227.4,12.08,0.177590551,No change
21,25/09/2019,9,2019,228.7,224.56,228.98,218.36,9.44,-5.714050132,Among top losers
22,24/09/2019,9,2019,223.21,241.52,241.99,222.61,12.94,-2.400524705,Negative
23,23/09/2019,9,2019,241.23,240,245.18,239.22,4.39,8.073115004,Bull run
24,20/09/2019,9,2019,240.62,246.49,246.95,238.16,6.51,-0.252870704,No change
25,19/09/2019,9,2019,246.6,246,247.94,244.84,4.88,2.485246447,Positive
26,18/09/2019,9,2019,243.49,245,248.17,242.37,4.23,-1.261151663,Negative
27,17/09/2019,9,2019,244.79,242.47,245.6,240.37,3.95,0.53390283,Slight positive
28,16/09/2019,9,2019,242.81,246,247.43,241.17,4.73,-0.808856571,Slight negative
29,13/09/2019,9,2019,245.2,246.96,248.45,244.87,5.31,0.984308719,Slight positive
30,12/09/2019,9,2019,245.87,247.7,253.5,244.4,8.58,0.27324633,No change
31,11/09/2019,9,2019,247.1,237.38,248.17,236,10.04,0.500264367,Slight positive
32,10/09/2019,9,2019,235.54,230.8,235.54,228.94,4.88,-4.678267908,Among top losers
33,09/09/2019,9,2019,231.79,230,233.76,229.23,4.8,-1.59208627,Negative
34,06/09/2019,9,2019,227.45,227.2,229.64,225.17,4.19,-1.872384486,Negative
35,05/09/2019,9,2019,229.58,222.5,229.8,220.85,7.4,0.936469554,Slight positive
36,04/09/2019,9,2019,220.68,226.89,228.46,219.21,5.77,-3.876644307,Among top losers
37,03/09/2019,9,2019,225.01,224.08,228.95,223.16,5.36,1.962117093,Positive
38,30/08/2019,8,2019,225.61,229.15,232.44,224.21,9.33,0.266654815,No change
39,29/08/2019,8,2019,221.71,219,223.4,218,5.18,-1.72864678,Negative
40,28/08/2019,8,2019,215.59,213.69,217.25,212.31,3.24,-2.760362636,Negative
41,27/08/2019,8,2019,214.08,215.74,218.8,212.03,5.42,-0.700403544,Slight negative
42,26/08/2019,8,2019,215,213.6,215.02,211.54,5.05,0.429745889,No change
43,23/08/2019,8,2019,211.4,219.97,221.17,211,8.56,-1.674418605,Negative
44,22/08/2019,8,2019,222.15,222.8,225.4,218.22,6.56,5.085146641,Among top gainers
45,21/08/2019,8,2019,220.83,222.01,223.22,217.6,7.8,-0.594193113,Slight negative
46,20/08/2019,8,2019,225.86,227.62,229.09,224.54,4.17,2.27777023,Positive
47,19/08/2019,8,2019,226.83,224.21,227.83,221.7,5.31,0.429469583,No change
48,16/08/2019,8,2019,219.94,216.66,222.24,216.02,5.21,-3.037517083,Among top losers
49,15/08/2019,8,2019,215.64,220.86,221.56,211.55,8.23,-1.955078658,Negative
50,14/08/2019,8,2019,219.62,231.21,231.5,216.69,9.56,1.845668707,Positive
51,13/08/2019,8,2019,235,228.81,236,227.55,4.87,7.003005191,Bull run
52,12/08/2019,8,2019,229.01,232.99,235.77,228.75,4.66,-2.54893617,Negative
53,09/08/2019,8,2019,235.01,236.05,238.96,233.81,3.9,2.619972927,Positive
